imie;nazwisko;ulica;nr mieszkania;uczelnia;zawód;płeć;wiek;wzrost;miasto;województwo;
Jadwiga;Bilecka;Kwiatowa 29;6;U.Pozn.;filolog;K;48;156;Radom;mazowieckie;312
Rafał;Bobek;Kwiatowa 32;6;P.Wr.;kartograf;M;54;190;Radom;mazowieckie;380
Robert;Bobekowski;Kwiatowa 29;5;P.Wr.;kartograf;M;32;175;Radom;mazowieckie;350
Rafał;Bobikowski;Kwiatowa 31;3;P.Wr.;kartograf;M;32;184;warszawa;mazowieckie;368
Rafał;Brobek;Kwiatowa 26;3;P.Wr.;kartograf;M;42;160;warszawa;mazowieckie;320
Wiktor;Brudziak;Kwiatowa 39;13;P.W.;nauczyciel;M;47;179;warszawa;mazowieckie;358
Bolesław;Bryński;Kwiatowa 34;6;U.W.;geograf;M;28;191;warszawa;mazowieckie;382
Jadwiga;Chrilecka;Kwiatowa 54;5;U.Pozn.;geodeta;K;24;180;warszawa;mazowieckie;360
Liliana;Ciupała;Kwiatowa 33;3;P.Szcz.;inżynier;K;51;170;warszawa;mazowieckie;340
Katarzyna;Dawro;Kwiatowa 33;11;P.Szcz.;geograf;K;53;187;warszawa;mazowieckie;374
Jadwiga;Derilecka;Kwiatowa 30;7;U.Pozn.;geodeta;K;50;188;warszawa;mazowieckie;376
Michał;Dertucha;Kwiatowa 36;4;P.W.;inżynier;M;24;186;warszawa;mazowieckie;372
Robert;Dido;Kwiatowa 47;7;U.W.;kartograf;M;44;163;warszawa;mazowieckie;326
Michał;Dindo;Kwiatowa 35;11;P.W.;inżynier;M;45;197;warszawa;mazowieckie;394
Rafał;Dobek;Kwiatowa 29;3;P.Wr.;kartograf;M;32;168;warszawa;mazowieckie;336
Andrzej;Drozda;Kwiatowa 29;4;P.Wr.;kartograf;M;28;152;warszawa;mazowieckie;304
Wiktor;Dudziak;Kwiatowa 39;13;P.W.;nauczyciel;M;51;148;warszawa;mazowieckie;296
Robert;Dwernik;Kwiatowa 47;10;U.W.;kartograf;M;36;169;warszawa;mazowieckie;338
Michał;Fądecki;Kwiatowa 35;9;P.W.;inżynier;M;26;152;warszawa;mazowieckie;304
Barbara;Fibiana;Kwiatowa 40;12;U.W.;architekt;K;43;177;warszawa;mazowieckie;354
Jadwiga;Filbrecka;Kwiatowa 32;8;U.Pozn.;geodeta;K;29;172;warszawa;mazowieckie;344
Kalina;Filecka;Kwiatowa 29;1;U.Pozn.;geodeta;K;43;174;warszawa;mazowieckie;348
Jolanta;Filecka;Kwiatowa 30;7;U.Pozn.;geograf;K;30;193;warszawa;mazowieckie;386
Jadwiga;Filoecka;Kwiatowa 55;9;U.Pozn.;geodeta;K;55;180;warszawa;mazowieckie;360
Jadwiga;Firlecka;Kwiatowa 34;8;U.Pozn.;geodeta;K;28;163;warszawa;mazowieckie;326
Rafał;Forbek;Kwiatowa 27;3;P.Wr.;kartograf;M;44;185;warszawa;mazowieckie;370
Barbara;Fornal;Kwiatowa 40;11;U.W.;architekt;K;55;167;warszawa;mazowieckie;334
Rafał;Fraczyński;Kwiatowa 29;1;P.Wr.;kartograf;M;27;171;warszawa;mazowieckie;342
Jadwiga;Fulecka;Kwiatowa 32;5;U.Pozn.;geodeta;K;52;178;warszawa;mazowieckie;356
Jadwiga;Gilecka;Kwiatowa 29;6;U.Pozn.;geograf;K;39;158;warszawa;mazowieckie;316
Rafał;Grater;Kwiatowa 31;2;P.Wr.;kartograf;M;36;173;warszawa;mazowieckie;346
Zbigniew;Grawik;Kwiatowa 50;9;U.W;pedagog;M;25;169;warszawa;mazowieckie;338
Pelagia;Greczyn;Kwiatowa 43;17;P.Szcz.;kartograf;K;31;166;warszawa;mazowieckie;332
Barbara;Griczan;Kwiatowa 43;15;U.W.;architekt;K;39;176;warszawa;mazowieckie;352
Barbara;Gruda;Kwiatowa 36;9;U.W.;architekt;K;35;186;warszawa;mazowieckie;372
Zbigniew;Hrubek;Kwiatowa 56;9;U.W;pedagog;M;37;181;warszawa;mazowieckie;362
Wiktor;Hryczyński;Kwiatowa 39;12;P.W.;nauczyciel;M;35;162;warszawa;mazowieckie;324
Andrzej;Jadziak;Kwiatowa 39;11;P.W.;nauczyciel;M;39;177;warszawa;mazowieckie;354
